mouse;"time [h]";"0A155D1804";"33F05C1804";"3E085D1804";"46ED5C1804";"57035D1804";"5D18040000";"5FCF5C1804";"AA025D1804";"C40B5D1804";"C8045D1804";"CBE65C1804"
0A155D1804;0.00;0;0.09198676556068824;0.10567073528871251;0.06691956909696434;-0.13672183183067338;0.0;0.19805153073364956;0.1694345936388839;0.1498119881183716;0.13526530865774727;-0.03759127760398495
0A155D1804;1.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;2.00;0;-0.033373709843979166;0.0378989265737274;0.0004609336844875189;0.09608701859157531;0.0;0.047038193487047464;0.0;0.0;0.006053227049386267;0.0
0A155D1804;3.00;0;0.02816106798647397;0.0;0.0;0.023021322553607004;0.0;-0.014459941054193126;0.0;-0.03681744063418346;0.0;0.0
0A155D1804;4.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;5.00;0;-0.04588967092401158;-0.017160445415674352;-0.017783499580050988;-0.033071805246658315;0.0;0.004145509957554472;0.00766437851581514;-0.009897637170951434;0.0;-0.16007732620033144
0A155D1804;6.00;0;0.0;0.0;0.0;-0.03943972054450273;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;7.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;8.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;9.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;10.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;11.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;12.00;0;-0.0013531112851941085;0.008372582755442615;-0.0006232730227091476;-0.0009425531292942546;0.0;0.0038539166098336963;-0.0020577696154553404;-0.0020152802399591163;-0.00098156891168244;-0.0004693655185012968
0A155D1804;13.00;0;-0.022921260487401174;-0.013249650014919678;-0.04152822495127928;0.030237230259963332;0.0;0.001370867861031716;-0.03730739334647154;-0.0028005520736143485;-0.02579709764902105;-0.02398813583874293
0A155D1804;14.00;0;0.009465984833815999;0.027410857308557968;0.011666948028767526;0.031602652220034166;0.0;-0.029785144013146914;-0.010888638530187011;0.022591104947872587;-0.0484597544362666;-0.0023370652415442006
0A155D1804;15.00;0;0.042595637965868405;-0.16237527466585305;-0.07452370984212049;0.015485289830881738;0.0;0.06527585344798942;-0.05605622630021023;-0.06522801885023155;0.11828156443051102;0.0
0A155D1804;16.00;0;-0.05819488203081141;0.015768179081020933;0.08085124037187547;0.0037137501225938396;0.0;0.07397021667190751;-0.08566120789797221;0.003065232409943053;0.024220094286159843;0.013787951409158367
0A155D1804;17.00;0;0.061573993019459705;-0.06355259973680233;-0.03045324695388965;0.02648256028298701;0.0;0.058326664858833976;-0.08161919392025713;0.007231531457705859;0.03700537602712295;0.07502422840534084
0A155D1804;18.00;0;0.06915835197553627;-0.0880976497136487;-0.15221118719081822;0.0;0.0;0.0;-0.08787213728096518;-0.0952482408239935;0.0;-0.012954787167926196
0A155D1804;19.00;0;-0.0003841589078933394;-0.014964734745201325;0.0023332623015732967;0.012854039848628762;0.0;-0.01885821124037379;-0.03987090076511533;0.01568778502543222;0.0;0.033419392015689664
0A155D1804;20.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;21.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;22.00;0;-0.001558089655578354;0.0;-0.008068958996202372;-0.00036756202972820784;0.0;0.0;0.08516626956123863;0.09612548467227289;0.0;-0.004201945683573849
0A155D1804;23.00;0;-0.011064410142354514;0.03423825870679109;-0.059607309693382404;0.09147213270687005;0.0;0.0031899690894913735;-0.08552735330987343;0.09178167202376852;-0.03327035698002043;-0.031310713097392986
0A155D1804;24.00;0;-0.2225382200123448;0.20622986469168908;0.01310920231497359;-0.1344901491467742;0.0;0.29854652748504384;0.22085000586287928;0.08826946880984438;0.19997269093372405;0.0
0A155D1804;25.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;26.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;27.00;0;0.006014145008435334;-0.0002861588463368703;-7.290614451871402e-05;0.0012448186741869094;0.0;0.0;0.0;0.0;0.0;-0.0030890825112231957
0A155D1804;28.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;29.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;30.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;31.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;32.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;33.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0A155D1804;34.00;0;0.0;0.0;0.0;0.0;0.0;-0.00589146129530238;0.0;0.0;0.0;0.0
0A155D1804;35.00;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
